Date,Year,Month,Region,Route_Type,Business_Unit,Revenue,Cost,Passenger_Count,Load_Factor,Billing_Errors,Report_Run_Time_Minutes,Manual_Hours_Saved,Automation_Phase
2016-02-26,2016,2,Asia,Domestic,Cargo,2040622,1512535,50247,0.88,182,282,15,Before
2016-02-27,2016,2,North America,International,Passenger,1902657,1414269,56672,0.92,199,295,6,Before
2016-02-28,2016,2,North America,International,Cargo,1586511,1181966,49554,0.8,207,261,24,Before
2016-02-29,2016,2,North America,Domestic,Cargo,2411018,1629481,48403,0.79,183,268,12,Before
2016-03-01,2016,3,North America,Domestic,Passenger,2157206,1443844,48564,0.82,187,274,10,Before
2016-03-02,2016,3,North America,International,Passenger,1754789,1239921,50208,0.75,203,280,19,Before
2016-03-03,2016,3,Asia,International,Cargo,2153745,1571565,46098,0.89,208,264,19,Before
2016-03-04,2016,3,Asia,Domestic,Cargo,1974416,1441111,45222,0.8,184,251,18,Before
2016-03-05,2016,3,Asia,Domestic,Passenger,1870685,1249550,44592,0.93,233,297,14,Before
2016-03-06,2016,3,North America,Domestic,Cargo,2015473,1487471,45693,0.9,179,276,7,Before
2016-03-07,2016,3,North America,International,Cargo,2185235,1537126,59547,0.95,172,291,13,Before
2016-03-08,2016,3,Europe,Domestic,Cargo,1923617,1332613,47932,0.78,149,293,10,Before
2016-03-09,2016,3,Asia,International,Cargo,2159496,1405389,50726,0.95,235,278,8,Before
2016-03-10,2016,3,Asia,Domestic,Cargo,2248394,1530620,49571,0.94,181,292,6,Before
2016-03-11,2016,3,North America,International,Passenger,2197498,1457146,53821,0.85,196,289,24,Before
2016-03-12,2016,3,North America,International,Cargo,2413408,1767431,40275,0.79,188,285,7,Before
2016-03-13,2016,3,North America,Domestic,Passenger,1855332,1320581,62169,0.82,203,281,9,Before
2016-03-14,2016,3,Asia,Domestic,Passenger,2097608,1628319,57900,0.78,188,291,16,Before
2016-03-15,2016,3,North America,Domestic,Passenger,2130679,1675097,43544,0.81,234,296,7,Before
2016-03-16,2016,3,Asia,International,Cargo,2050038,1498510,54028,0.84,162,299,12,Before
2016-03-17,2016,3,Asia,International,Cargo,1542187,1079411,57162,0.9,182,290,19,Before
2016-03-18,2016,3,North America,Domestic,Cargo,2095916,1676007,57915,0.9,219,294,19,Before
2016-03-19,2016,3,Europe,International,Cargo,1989648,1518489,59204,0.77,155,293,5,Before
2016-03-20,2016,3,Asia,Domestic,Cargo,1914518,1451851,47236,0.89,227,300,17,Before
2016-03-21,2016,3,Europe,Domestic,Passenger,1788322,1406099,47435,0.87,182,233,8,Before
2016-03-22,2016,3,Asia,International,Cargo,2036106,1510216,63217,0.75,235,291,18,Before
2016-03-23,2016,3,Asia,International,Passenger,2376404,1695848,56727,0.9,180,277,9,Before
2016-03-24,2016,3,Europe,Domestic,Passenger,1753011,1199251,44503,0.87,227,266,18,Before
2016-03-25,2016,3,North America,Domestic,Cargo,1797579,1313328,41725,0.93,174,254,14,Before
2016-03-26,2016,3,Asia,Domestic,Cargo,1948081,1307412,42484,0.79,146,278,6,Before
2016-03-27,2016,3,North America,Domestic,Passenger,1818619,1240120,46396,0.85,199,288,5,Before
2016-03-28,2016,3,Europe,International,Cargo,1732074,1203686,50744,0.81,172,241,24,Before
2016-03-29,2016,3,Europe,International,Cargo,2513985,1658868,44464,0.91,227,226,23,Before
2016-03-30,2016,3,Europe,International,Cargo,1928693,1350382,51191,0.77,183,298,21,Before
2016-03-31,2016,3,Europe,International,Cargo,2244440,1544361,39128,0.79,251,282,23,Before
2016-04-01,2016,4,North America,Domestic,Passenger,1755574,1167309,53564,0.8,214,288,19,Before
2016-04-02,2016,4,North America,International,Passenger,1661346,1101536,45497,0.88,213,289,15,Before
2016-04-03,2016,4,North America,Domestic,Cargo,2273474,1788300,54791,0.87,220,269,20,Before
2016-04-04,2016,4,Asia,Domestic,Cargo,1904893,1459291,55078,0.82,192,289,7,Before
2016-04-05,2016,4,North America,International,Cargo,2194364,1689612,49845,0.84,243,293,16,Before
2016-04-06,2016,4,North America,International,Cargo,1742310,1203668,50504,0.75,167,291,11,Before
2016-04-07,2016,4,North America,Domestic,Cargo,1906170,1242154,52634,0.78,232,311,21,Before
2016-04-08,2016,4,Europe,Domestic,Passenger,1631825,1187703,43602,0.76,210,265,11,Before
2016-04-09,2016,4,North America,International,Passenger,1877696,1301814,42966,0.82,180,301,23,Before
2016-04-10,2016,4,Europe,International,Passenger,2098663,1594744,50924,0.79,188,282,7,Before
2016-04-11,2016,4,Asia,International,Passenger,1929565,1275964,51212,0.9,239,279,17,Before
2016-04-12,2016,4,North America,Domestic,Passenger,2099947,1583789,52662,0.8,164,302,14,Before
2016-04-13,2016,4,Asia,Domestic,Passenger,1736130,1269606,48868,0.92,216,292,16,Before
2016-04-14,2016,4,Europe,International,Cargo,2270969,1493705,55143,0.88,202,269,9,Before
2016-04-15,2016,4,Asia,International,Passenger,1609502,1075273,48602,0.9,196,276,21,Before
2016-04-16,2016,4,Asia,International,Cargo,1906909,1476590,54432,0.76,171,290,22,Before
2016-04-17,2016,4,Europe,Domestic,Passenger,1494132,1061838,56490,0.86,203,307,17,Before
2016-04-18,2016,4,Europe,Domestic,Cargo,2202027,1569221,49018,0.84,191,256,17,Before
2016-04-19,2016,4,Asia,Domestic,Cargo,2244634,1594340,46582,0.85,218,286,7,Before
2016-04-20,2016,4,North America,International,Cargo,1663635,1265422,41207,0.8,193,263,19,Before
2016-04-21,2016,4,Europe,International,Passenger,1993063,1410389,51171,0.89,219,275,22,Before
2016-04-22,2016,4,Asia,International,Passenger,1970162,1528203,46702,0.8,197,269,18,Before
2016-04-23,2016,4,North America,International,Passenger,2093712,1558698,52540,0.79,250,289,13,Before
2016-04-24,2016,4,North America,Domestic,Cargo,1633836,1306170,65836,0.93,244,266,21,Before
2016-04-25,2016,4,North America,Domestic,Cargo,1831977,1431908,50823,0.8,210,301,19,Before
2016-04-26,2016,4,Asia,Domestic,Cargo,1650290,1136988,43713,0.89,183,279,9,Before
2016-04-27,2016,4,North America,International,Passenger,2008654,1578755,55152,0.86,210,320,20,Before
2016-04-28,2016,4,North America,Domestic,Cargo,2220331,1524907,50318,0.78,190,260,17,Before
2016-04-29,2016,4,North America,Domestic,Cargo,2063561,1399885,46852,0.93,199,291,17,Before
2016-04-30,2016,4,Europe,International,Passenger,2045925,1330194,49237,0.86,183,297,14,Before
2016-05-01,2016,5,North America,International,Passenger,2004928,1381336,50449,0.88,229,284,6,Before
2016-05-02,2016,5,Asia,International,Passenger,2107604,1478022,50239,0.88,203,288,10,Before
2016-05-03,2016,5,Asia,International,Passenger,2150380,1550501,54884,0.76,240,265,22,Before
2016-05-04,2016,5,North America,International,Passenger,2227320,1532120,47715,0.75,197,255,24,Before
2016-05-05,2016,5,North America,Domestic,Passenger,2017790,1561543,55829,0.81,209,291,8,Before
2016-05-06,2016,5,Europe,Domestic,Passenger,1630645,1138371,47166,0.89,184,292,24,Before
2016-05-07,2016,5,North America,International,Cargo,1767355,1292793,62820,0.78,196,256,21,Before
2016-05-08,2016,5,Asia,Domestic,Passenger,2039304,1569204,53545,0.85,186,316,22,Before
2016-05-09,2016,5,North America,International,Passenger,1734709,1281151,55772,0.84,239,272,10,Before
2016-05-10,2016,5,Europe,Domestic,Passenger,2180364,1664836,56373,0.94,205,289,22,Before
2016-05-11,2016,5,North America,Domestic,Cargo,2480405,1873622,49886,0.86,182,280,23,Before
2016-05-12,2016,5,Europe,Domestic,Passenger,1964197,1315830,46340,0.86,219,292,17,Before
2016-05-13,2016,5,Europe,Domestic,Cargo,2055102,1553598,46007,0.76,236,287,6,Before
2016-05-14,2016,5,Europe,International,Cargo,2103613,1520196,56539,0.88,243,303,12,Before
2016-05-15,2016,5,Asia,Domestic,Cargo,1926095,1269398,51022,0.8,179,269,7,Before
2016-05-16,2016,5,Europe,International,Cargo,1737755,1270944,55992,0.85,196,264,23,Before
2016-05-17,2016,5,North America,Domestic,Cargo,2226250,1657030,48626,0.9,200,311,19,Before
2016-05-18,2016,5,North America,Domestic,Cargo,1918108,1360566,50383,0.87,226,288,22,Before
2016-05-19,2016,5,Europe,Domestic,Passenger,1822357,1289458,43184,0.84,190,292,11,Before
2016-05-20,2016,5,Europe,Domestic,Cargo,2064760,1494559,48542,0.8,196,301,12,Before
2016-05-21,2016,5,North America,International,Cargo,2053643,1431024,46431,0.83,234,310,11,Before
2016-05-22,2016,5,North America,Domestic,Passenger,2086628,1494659,48502,0.82,239,268,8,Before
2016-05-23,2016,5,North America,Domestic,Cargo,2117552,1456619,50575,0.82,228,247,13,Before
2016-05-24,2016,5,North America,International,Passenger,2141442,1535318,54851,0.92,231,326,19,Before
2016-05-25,2016,5,Europe,International,Cargo,1935675,1273198,47744,0.88,187,269,24,Before
2016-05-26,2016,5,North America,Domestic,Passenger,2183265,1568044,51732,0.85,241,277,9,Before
2016-05-27,2016,5,Asia,International,Cargo,2221636,1511330,44800,0.88,187,318,24,Before
2016-05-28,2016,5,Asia,International,Passenger,2174013,1721148,52478,0.89,248,278,9,Before
2016-05-29,2016,5,Asia,International,Passenger,2221105,1515573,55935,0.88,232,257,12,Before
2016-05-30,2016,5,Europe,International,Cargo,2160494,1726235,48008,0.9,194,269,6,Before
2016-05-31,2016,5,Europe,Domestic,Cargo,2237894,1725812,43861,0.9,194,307,15,Before
2016-06-01,2016,6,North America,International,Cargo,2365385,1652665,50077,0.82,231,263,15,Before
2016-06-02,2016,6,North America,International,Passenger,2339393,1726610,49826,0.78,225,293,5,Before
2016-06-03,2016,6,Asia,Domestic,Cargo,2073865,1496302,50854,0.83,232,286,13,Before
2016-06-04,2016,6,Asia,Domestic,Passenger,2345880,1840359,56309,0.76,202,287,16,Before
2016-06-05,2016,6,Asia,International,Passenger,2120496,1431228,49523,0.87,240,285,23,Before
2016-06-06,2016,6,Asia,International,Cargo,2450849,1740067,47602,0.95,201,306,19,Before
2016-06-07,2016,6,Asia,International,Cargo,2291935,1591271,52567,0.91,183,276,11,Before
2016-06-08,2016,6,North America,International,Passenger,2424459,1873811,52716,0.93,185,266,5,Before
2016-06-09,2016,6,Europe,Domestic,Passenger,2435302,1786283,51327,0.8,221,261,14,Before
2016-06-10,2016,6,Asia,International,Passenger,2447895,1757013,46089,0.87,210,265,8,Before
2016-06-11,2016,6,North America,Domestic,Passenger,2644916,1936090,58116,0.8,229,246,6,Before
2016-06-12,2016,6,Asia,Domestic,Passenger,2276437,1631906,59482,0.89,207,304,6,Before
2016-06-13,2016,6,Europe,International,Passenger,2250272,1680488,54340,0.87,166,254,10,Before
2016-06-14,2016,6,North America,Domestic,Cargo,2647709,1986947,48925,0.76,173,296,10,Before
2016-06-15,2016,6,Europe,Domestic,Cargo,2350698,1595063,42309,0.76,170,253,12,Before
2016-06-16,2016,6,Europe,Domestic,Cargo,2573688,1707166,41019,0.94,226,293,7,Before
2016-06-17,2016,6,Europe,International,Cargo,2716693,1907487,48466,0.88,189,251,20,Before
2016-06-18,2016,6,Europe,Domestic,Cargo,2414599,1874465,53900,0.85,185,284,12,Before
2016-06-19,2016,6,North America,Domestic,Cargo,2152367,1419413,50124,0.77,186,256,11,Before
2016-06-20,2016,6,North America,International,Passenger,2412005,1866392,41945,0.81,208,269,13,Before
2016-06-21,2016,6,Europe,International,Passenger,2405224,1706691,37657,0.86,229,301,19,Before
2016-06-22,2016,6,Europe,International,Cargo,2327722,1798887,47749,0.81,214,282,14,Before
2016-06-23,2016,6,North America,Domestic,Cargo,2582474,1732529,42011,0.93,189,298,6,Before
2016-06-24,2016,6,North America,International,Passenger,2240092,1616753,51757,0.85,197,278,7,Before
2016-06-25,2016,6,North America,Domestic,Cargo,2325234,1808374,53163,0.75,200,275,16,Before
2016-06-26,2016,6,Asia,Domestic,Passenger,2357311,1552818,57453,0.95,202,273,23,Before
2016-06-27,2016,6,Asia,Domestic,Passenger,2277319,1716698,48487,0.76,203,280,13,Before
2016-06-28,2016,6,North America,Domestic,Cargo,2589910,1888189,42575,0.84,172,275,21,Before
2016-06-29,2016,6,Asia,International,Cargo,2508292,1919835,53795,0.75,188,228,11,Before
2016-06-30,2016,6,Asia,Domestic,Cargo,2201308,1635224,52896,0.81,208,301,10,Before
2016-07-01,2016,7,North America,Domestic,Cargo,2201178,1611689,49845,0.84,176,279,22,Before
2016-07-02,2016,7,Europe,International,Passenger,2125619,1528143,41932,0.91,186,300,24,Before
2016-07-03,2016,7,Europe,International,Cargo,2535585,1662745,47560,0.93,243,267,5,Before
2016-07-04,2016,7,Asia,International,Cargo,2473291,1774816,48715,0.93,187,278,6,Before
2016-07-05,2016,7,North America,Domestic,Passenger,2618613,1743485,52876,0.76,151,283,12,Before
2016-07-06,2016,7,Asia,International,Passenger,2184667,1600142,41106,0.92,197,265,18,Before
2016-07-07,2016,7,North America,Domestic,Cargo,2521426,1783381,56555,0.79,205,261,19,Before
2016-07-08,2016,7,North America,Domestic,Passenger,2283328,1815869,50192,0.91,229,315,18,Before
2016-07-09,2016,7,Europe,Domestic,Cargo,2511364,1717000,48948,0.82,165,241,20,Before
2016-07-10,2016,7,Europe,International,Cargo,2442114,1769084,52562,0.75,214,272,22,Before
2016-07-11,2016,7,North America,Domestic,Cargo,2151736,1714416,53027,0.9,174,284,16,Before
2016-07-12,2016,7,Europe,International,Passenger,2458904,1866780,41412,0.77,187,285,15,Before
2016-07-13,2016,7,Asia,Domestic,Passenger,2315160,1648422,45299,0.9,213,308,22,Before
2016-07-14,2016,7,Asia,Domestic,Cargo,2465730,1884232,54501,0.78,194,279,23,Before
2016-07-15,2016,7,North America,Domestic,Passenger,2228897,1742936,46895,0.88,221,262,5,Before
2016-07-16,2016,7,Asia,Domestic,Passenger,2202583,1609657,57433,0.85,204,284,18,Before
2016-07-17,2016,7,North America,International,Cargo,2565398,1928555,53989,0.9,197,304,16,Before
2016-07-18,2016,7,North America,International,Cargo,2712747,2080839,43748,0.79,207,262,23,Before
2016-07-19,2016,7,Asia,Domestic,Cargo,2094868,1611224,56312,0.77,188,331,12,Before
2016-07-20,2016,7,Asia,International,Passenger,2708421,1988249,60030,0.87,220,291,18,Before
2016-07-21,2016,7,North America,Domestic,Cargo,2491018,1897878,45912,0.95,211,270,23,Before
2016-07-22,2016,7,North America,International,Cargo,2256635,1496803,40667,0.79,230,292,23,Before
2016-07-23,2016,7,North America,International,Cargo,2195162,1636332,59270,0.91,195,260,15,Before
2016-07-24,2016,7,Asia,Domestic,Passenger,2471233,1667573,50243,0.89,233,313,18,Before
2016-07-25,2016,7,North America,Domestic,Passenger,2317715,1637551,52643,0.84,145,264,10,Before
2016-07-26,2016,7,Europe,International,Cargo,2419981,1575539,50729,0.76,190,273,9,Before
2016-07-27,2016,7,North America,International,Passenger,2204724,1514748,45537,0.93,183,261,24,Before
2016-07-28,2016,7,North America,Domestic,Cargo,2395726,1569301,46263,0.76,151,297,14,Before
2016-07-29,2016,7,Europe,Domestic,Passenger,2413398,1907847,52579,0.76,168,269,11,Before
2016-07-30,2016,7,Europe,Domestic,Cargo,2489200,1689366,46483,0.82,206,277,9,Before
2016-07-31,2016,7,North America,Domestic,Passenger,2235376,1682261,49179,0.86,220,234,16,Before
2016-08-01,2016,8,Europe,Domestic,Passenger,2132425,1656974,52757,0.84,208,262,11,Before
2016-08-02,2016,8,Europe,International,Cargo,2753972,2015397,44828,0.76,227,281,6,Before
2016-08-03,2016,8,Asia,International,Passenger,2274303,1566524,53012,0.78,223,264,14,Before
2016-08-04,2016,8,North America,Domestic,Cargo,2300500,1821986,46557,0.86,207,311,19,Before
2016-08-05,2016,8,North America,International,Cargo,2143412,1518841,45390,0.91,183,237,6,Before
2016-08-06,2016,8,Asia,Domestic,Passenger,2033846,1563881,51003,0.87,223,290,22,Before
2016-08-07,2016,8,Asia,International,Cargo,2156177,1626587,50588,0.91,216,271,19,Before
2016-08-08,2016,8,Asia,International,Passenger,2290698,1796132,47421,0.88,196,256,7,Before
2016-08-09,2016,8,Europe,International,Passenger,2438304,1769674,51206,0.94,205,279,10,Before
2016-08-10,2016,8,Europe,International,Cargo,2362571,1593164,54928,0.75,223,331,17,Before
2016-08-11,2016,8,Europe,International,Cargo,2458678,1722368,49625,0.81,205,294,24,Before
2016-08-12,2016,8,North America,International,Cargo,2426837,1768715,50563,0.8,188,312,13,Before
2016-08-13,2016,8,North America,Domestic,Passenger,2489471,1780782,43930,0.87,215,292,6,Before
2016-08-14,2016,8,Asia,Domestic,Passenger,2474486,1729085,46049,0.89,191,290,19,Before
2016-08-15,2016,8,Asia,Domestic,Cargo,2675173,1944578,55062,0.81,220,253,12,Before
2016-08-16,2016,8,North America,Domestic,Passenger,2526944,1741173,55548,0.93,213,317,18,Before
2016-08-17,2016,8,Europe,International,Cargo,2428165,1716858,55502,0.95,196,261,6,Before
2016-08-18,2016,8,Europe,International,Cargo,2541890,1763646,47822,0.93,214,292,12,Before
2016-08-19,2016,8,North America,Domestic,Cargo,2212912,1713699,55429,0.81,207,316,24,Before
2016-08-20,2016,8,North America,International,Passenger,2396116,1665755,48484,0.87,178,258,12,Before
2016-08-21,2016,8,Asia,International,Cargo,2485662,1836862,54495,0.93,214,267,13,Before
2016-08-22,2016,8,Asia,Domestic,Cargo,2470678,1850102,56965,0.8,198,249,16,Before
2016-08-23,2016,8,North America,Domestic,Cargo,2296417,1806365,51205,0.84,192,262,13,Before
2016-08-24,2016,8,North America,International,Cargo,2384493,1832054,53172,0.88,183,287,24,Before
2016-08-25,2016,8,Europe,International,Passenger,2358473,1881061,41250,0.8,218,275,8,Before
2016-08-26,2016,8,North America,Domestic,Cargo,2561312,1756620,51030,0.84,171,228,22,Before
2016-08-27,2016,8,Europe,Domestic,Cargo,2221133,1615842,46652,0.75,221,268,7,Before
2016-08-28,2016,8,Europe,International,Passenger,2283844,1764797,54268,0.86,203,299,21,Before
2016-08-29,2016,8,North America,International,Passenger,2387185,1884477,47048,0.78,229,265,11,Before
2016-08-30,2016,8,North America,Domestic,Passenger,2083761,1611931,54475,0.94,190,282,12,Before
2016-08-31,2016,8,Asia,Domestic,Passenger,2722444,1816341,54484,0.83,156,265,17,Before
2016-09-01,2016,9,Asia,International,Cargo,1973748,1306674,50384,0.82,203,288,23,Before
2016-09-02,2016,9,Europe,International,Passenger,1980282,1476130,50094,0.93,219,285,13,Before
2016-09-03,2016,9,Europe,Domestic,Passenger,1771254,1154425,50542,0.83,197,242,24,Before
2016-09-04,2016,9,Asia,International,Passenger,2031971,1425377,44861,0.9,219,288,17,Before
2016-09-05,2016,9,Europe,International,Passenger,2016212,1571156,45975,0.87,188,253,15,Before
2016-09-06,2016,9,Asia,Domestic,Passenger,1984345,1446333,48271,0.85,208,259,7,Before
2016-09-07,2016,9,North America,Domestic,Passenger,2262061,1585909,56978,0.76,166,263,9,Before
2016-09-08,2016,9,North America,International,Cargo,2054374,1507814,55790,0.77,177,281,10,Before
2016-09-09,2016,9,Europe,Domestic,Cargo,1646540,1147606,42745,0.78,178,279,18,Before
2016-09-10,2016,9,Europe,International,Passenger,1475242,1179055,43896,0.86,204,264,9,Before
2016-09-11,2016,9,North America,Domestic,Cargo,2105791,1417453,39805,0.86,231,285,24,Before
2016-09-12,2016,9,Asia,International,Cargo,1842443,1213519,46895,0.82,160,294,23,Before
2016-09-13,2016,9,North America,Domestic,Cargo,1493942,1193775,48569,0.93,222,319,7,Before
2016-09-14,2016,9,North America,Domestic,Passenger,2016956,1526094,49576,0.93,205,259,23,Before
2016-09-15,2016,9,Asia,International,Passenger,1890910,1440644,49754,0.86,203,272,6,Before
2016-09-16,2016,9,Europe,International,Cargo,1818127,1387582,50144,0.85,198,241,13,Before
2016-09-17,2016,9,North America,International,Cargo,2416469,1903718,44213,0.82,210,286,15,Before
2016-09-18,2016,9,Asia,Domestic,Passenger,2256146,1627747,51909,0.95,172,299,22,Before
2016-09-19,2016,9,Asia,Domestic,Cargo,2177091,1718570,53945,0.76,201,301,12,Before
2016-09-20,2016,9,Europe,Domestic,Cargo,2042328,1570568,58629,0.95,197,272,20,Before
2016-09-21,2016,9,North America,Domestic,Passenger,2093345,1638385,52429,0.89,195,262,9,Before
2016-09-22,2016,9,Europe,International,Cargo,2094064,1559687,40720,0.87,185,286,6,Before
2016-09-23,2016,9,Europe,International,Cargo,1766798,1336611,49642,0.88,208,273,6,Before
2016-09-24,2016,9,Asia,International,Cargo,2165894,1512279,49030,0.85,212,255,7,Before
2016-09-25,2016,9,North America,Domestic,Passenger,2296247,1557260,47607,0.89,197,301,17,Before
2016-09-26,2016,9,Europe,International,Cargo,1778929,1346814,53910,0.91,204,307,8,Before
2016-09-27,2016,9,North America,Domestic,Passenger,1860906,1253866,57785,0.93,211,296,8,Before
2016-09-28,2016,9,North America,Domestic,Passenger,2000041,1314082,49953,0.81,193,283,13,Before
2016-09-29,2016,9,North America,International,Passenger,2036980,1588808,44735,0.86,162,256,22,Before
2016-09-30,2016,9,Asia,Domestic,Passenger,1986890,1407010,59908,0.88,210,263,16,Before
2016-10-01,2016,10,North America,Domestic,Cargo,1788922,1191072,55292,0.91,191,282,17,Before
2016-10-02,2016,10,Europe,International,Passenger,1433496,1030188,50084,0.79,171,251,9,Before
2016-10-03,2016,10,North America,Domestic,Cargo,1567057,1187747,56693,0.82,207,292,11,Before
2016-10-04,2016,10,North America,Domestic,Passenger,1980312,1563696,47830,0.78,202,273,5,Before
2016-10-05,2016,10,North America,International,Passenger,1891177,1260898,49186,0.85,214,269,5,Before
2016-10-06,2016,10,North America,Domestic,Cargo,1954280,1414761,45028,0.83,248,295,18,Before
2016-10-07,2016,10,North America,International,Cargo,2403581,1674766,51081,0.9,202,310,15,Before
2016-10-08,2016,10,Asia,International,Passenger,1961658,1383282,46541,0.79,162,265,16,Before
2016-10-09,2016,10,Asia,International,Passenger,1752178,1139271,42662,0.81,203,281,5,Before
2016-10-10,2016,10,Asia,Domestic,Cargo,2034668,1560705,51219,0.84,167,263,19,Before
2016-10-11,2016,10,North America,Domestic,Passenger,1979349,1508494,41784,0.84,200,284,7,Before
2016-10-12,2016,10,Europe,Domestic,Passenger,1867573,1253366,47010,0.87,207,308,19,Before
2016-10-13,2016,10,North America,Domestic,Cargo,1740374,1307228,57890,0.8,212,275,15,Before
